domaine_chruth;categorie_chruth;nb_prospects;nb_societes;nb_chaude;score_moyen
PRIVE;IMMO_AGENCE;28359;26562;35;31.3
PRIVE;PRIV_RESTAURANT;27018;25288;130;37.7
PRIVE;PRIV_SANTE_CABINET;18610;16605;245;39.7
PRIVE;PRIV_SANTE_CENTRE;18488;18112;51;43.1
PRIVE;PRIV_LOISIRS;17334;16987;10;31.3
PRIVE;PRIV_BUREAU;11758;11565;81;35.2
PRIVE;PRIV_COMMERCE;2346;2039;93;45.7
PUBLIC;PUB_ECOLE;4341;1651;675;54.6
PUBLIC;PUB_MAIRIE;2254;1791;606;57.6
PUBLIC;PUB_HOPITAL;1155;678;581;67.9
PUBLIC;PUB_MUSEE;839;754;99;47.0
