rang_ville;domaine_chruth;code_departement;libelle_commune;nb_prospects;nb_societes;nb_chaude;score_moyen;categories_principales
1;PUBLIC;75;PARIS;1247;987;523;64.6;PUB_ECOLE, PUB_MAIRIE, PUB_HOPITAL, PUB_MUSEE
2;PRIVE;75;PARIS;39646;37452;401;46.1;PRIV_SANTE_CENTRE, IMMO_AGENCE, PRIV_SANTE_CABINET, PRIV_BUREAU, PRIV_LOISIRS, PRIV_RESTAURANT, PRIV_COMMERCE
3;PUBLIC;92;PUTEAUX;50;40;35;74.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
4;PUBLIC;93;ROMAINVILLE;39;10;30;74.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
5;PUBLIC;78;VERSAILLES;61;39;29;64.8;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
6;PUBLIC;92;NANTERRE;38;24;27;71.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
7;PUBLIC;92;BOULOGNE-BILLANCOURT;43;25;25;70.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
8;PUBLIC;93;SAINT-DENIS;41;21;24;67.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
9;PUBLIC;92;NEUILLY-SUR-SEINE;34;20;22;73.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
10;PUBLIC;93;NOISY-LE-GRAND;35;10;21;65.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
11;PRIVE;92;LEVALLOIS-PERRET;899;887;21;46.9;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_RESTAURANT, IMMO_AGENCE, PRIV_BUREAU, PRIV_COMMERCE
12;PUBLIC;92;SURESNES;39;28;19;65.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
13;PRIVE;92;COURBEVOIE;745;736;18;45.6;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
14;PUBLIC;93;AUBERVILLIERS;22;13;17;70.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
15;PUBLIC;92;CLICHY;22;10;16;73.9;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
16;PUBLIC;93;SAINT-OUEN-SUR-SEINE;21;10;16;73.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
17;PUBLIC;92;COLOMBES;19;10;16;70.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
18;PUBLIC;78;SAINT-GERMAIN-EN-LAYE;30;15;16;67.8;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
19;PUBLIC;94;IVRY-SUR-SEINE;28;19;16;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
20;PUBLIC;94;CRETEIL;38;19;16;63.0;PUB_MAIRIE, PUB_MUSEE, PUB_ECOLE, PUB_HOPITAL
21;PUBLIC;95;ARGENTEUIL;25;13;15;68.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
22;PUBLIC;92;ANTONY;20;10;15;68.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
23;PUBLIC;93;MONTREUIL;43;31;15;59.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
24;PUBLIC;93;BAGNOLET;16;5;14;75.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
25;PUBLIC;92;MONTROUGE;22;11;14;69.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
26;PUBLIC;92;RUEIL-MALMAISON;21;12;14;69.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
27;PUBLIC;92;LEVALLOIS-PERRET;20;12;13;72.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
28;PUBLIC;92;LA GARENNE-COLOMBES;20;11;13;67.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
29;PUBLIC;95;MONTMORENCY;21;10;13;66.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
30;PUBLIC;93;PANTIN;21;13;13;65.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
31;PRIVE;92;PUTEAUX;534;525;13;45.4;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
32;PUBLIC;93;EPINAY-SUR-SEINE;15;6;12;71.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
33;PUBLIC;92;SAINT-CLOUD;18;8;12;71.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
34;PUBLIC;92;ASNIERES-SUR-SEINE;19;10;12;68.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
35;PUBLIC;92;GENNEVILLIERS;20;9;12;66.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
36;PRIVE;92;NEUILLY-SUR-SEINE;1233;1196;12;46.4;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_BUREAU, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_COMMERCE
37;PUBLIC;94;VILLENEUVE-SAINT-GEORGES;16;5;11;72.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
38;PUBLIC;95;BEZONS;14;4;11;72.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
39;PUBLIC;92;FONTENAY-AUX-ROSES;16;7;11;70.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
40;PUBLIC;92;GARCHES;15;8;11;69.7;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
41;PUBLIC;92;ISSY-LES-MOULINEAUX;20;11;11;68.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
42;PUBLIC;94;VITRY-SUR-SEINE;24;9;11;66.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
43;PUBLIC;93;LA COURNEUVE;11;2;10;72.7;PUB_MAIRIE, PUB_ECOLE
44;PUBLIC;92;VILLENEUVE-LA-GARENNE;13;4;10;71.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
45;PUBLIC;92;SCEAUX;18;8;10;65.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
46;PUBLIC;93;VILLETANEUSE;11;1;9;70.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
47;PUBLIC;92;CHATILLON;16;7;9;68.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
48;PUBLIC;93;NEUILLY-SUR-MARNE;18;5;9;68.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
49;PUBLIC;94;CACHAN;13;3;9;68.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
50;PUBLIC;92;BOIS-COLOMBES;12;5;9;67.9;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
51;PUBLIC;94;ALFORTVILLE;15;5;9;67.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
52;PUBLIC;92;COURBEVOIE;23;14;9;66.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
53;PUBLIC;92;CLAMART;20;9;9;65.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
54;PUBLIC;94;CHARENTON-LE-PONT;16;7;9;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
55;PUBLIC;92;MEUDON;21;12;9;64.8;PUB_MAIRIE, PUB_MUSEE, PUB_ECOLE, PUB_HOPITAL
56;PUBLIC;92;BAGNEUX;14;4;9;64.6;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
57;PUBLIC;94;SAINT-MAURICE;23;6;9;64.3;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
58;PUBLIC;93;BOBIGNY;21;12;9;64.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
59;PUBLIC;91;MASSY;24;15;9;60.8;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
60;PUBLIC;94;SAINT-MAUR-DES-FOSSES;31;23;9;57.1;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
61;PRIVE;92;ASNIERES-SUR-SEINE;723;709;9;43.6;PRIV_SANTE_CENTRE, PRIV_SANTE_CABINET, PRIV_LOISIRS, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_BUREAU, PRIV_COMMERCE
62;PRIVE;92;BOULOGNE-BILLANCOURT;1634;1618;9;41.9;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, PRIV_BUREAU, IMMO_AGENCE, PRIV_RESTAURANT, PRIV_COMMERCE
63;PRIVE;93;SAINT-DENIS;719;711;9;40.7;PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE, PRIV_LOISIRS, IMMO_AGENCE, PRIV_BUREAU, PRIV_RESTAURANT, PRIV_COMMERCE
64;PUBLIC;94;BRY-SUR-MARNE;12;5;8;71.2;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
65;PUBLIC;95;VILLIERS-LE-BEL;15;5;8;69.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
66;PUBLIC;92;MALAKOFF;14;5;8;68.9;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
67;PUBLIC;94;SAINT-MANDE;14;7;8;68.2;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE, PUB_HOPITAL
68;PUBLIC;92;VANVES;16;7;8;67.5;PUB_MAIRIE, PUB_ECOLE, PUB_MUSEE
69;PUBLIC;92;SEVRES;15;6;8;67.3;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
70;PUBLIC;93;AULNAY-SOUS-BOIS;18;8;8;66.4;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL
71;PUBLIC;94;CHAMPIGNY-SUR-MARNE;20;8;8;65.0;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
72;PUBLIC;93;DRANCY;20;11;8;64.5;PUB_MAIRIE, PUB_ECOLE, PUB_HOPITAL, PUB_MUSEE
