rang_societe;identifiant_societe;denomination;domaines;categories;nb_etablissements;nb_villes;villes;departements;adresses;meilleure_priorite;score_max;score_moyen
1;301160750;CLINEA;PRIVE, PUBLIC;IMMO_AGENCE, PUB_HOPITAL;30;24;PARIS, MAREUIL-LES-MEAUX, LE VESINET, SAINT-REMY-LES-CHEVREUSE, VIRY-CHATILLON, BRUNOY, LONGPONT-SUR-ORGE, CROSNE;75, 77, 78, 91, 92, 93, 94, 95;115 RUE DE LA SANTE 75013 PARIS, 27 RUE DE LA JONQUIERE 75017 PARIS, N°9 AU 13 9 RUE MECHAIN 75014 PARIS, 104-106 104 RUE DES COURONNES 75020 PARIS, ZAC LA HAUTE BORNE 850 RUE DES MADELEINES 77100 MAREUIL-LES-MEAUX, 9 AVENUE DES PAGES 78110 LE VESINET, 66 CHEMIN DE LA CHAPELLE 78470 SAINT-REMY-LES-CHEVREUSE, 2 RUE HORACE DE CHOISEUL 91170 VIRY-CHATILLON;CHAUDE;90;78.9
2;480266014;VYV3 ILE-DE-FRANCE;PUBLIC;PUB_HOPITAL;20;11;PARIS, LIEUSAINT, COLOMBES, RUEIL-MALMAISON, PUTEAUX, VILLEMOMBLE, NOISY-LE-SEC, BOBIGNY;75, 77, 92, 93, 95;5EME ETAGE 167 RUE RAYMOND LOSSERAND 75014 PARIS, 26 BOULEVARD BRUNE 75014 PARIS, 167 RUE RAYMOND LOSSERAND 75014 PARIS, 12 RUE BOYER-BARRET 75014 PARIS, 96 RUE DE PARIS 77127 LIEUSAINT, 7 AVENUE AUDRA 92700 COLOMBES, 179 AVENUE NAPOLEON BONAPARTE 92500 RUEIL-MALMAISON, 7 RUE VOLTAIRE 92800 PUTEAUX;CHAUDE;90;78.8
3;775694839;ASS POUR UTILISATION REIN ARTIFICIEL;PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CABINET;20;11;PARIS, MEAUX, MELUN, CORBEIL-ESSONNES, MONTROUGE, CHATILLON, MONTREUIL, SAINT-OUEN-SUR-SEINE;75, 77, 91, 92, 93, 94, 95;26 RUE DES PEUPLIERS 75013 PARIS, 5 RUE DU BESSIN 75015 PARIS, 96 RUE CASTAGNARY 75015 PARIS, 27 RUE LEVERT 75020 PARIS, 1 PLACE DES GRES 75020 PARIS, 93 RUE PELLEPORT 75020 PARIS, SECT C.BERNARD HOPT BICHAT 46 RUE HENRI HUCHARD 75018 PARIS, 185A 185 RUE RAYMOND LOSSERAND 75014 PARIS;CHAUDE;90;73.8
4;200027092;HOPITAUX PARIS EST VAL-DE-MARNE;PUBLIC;PUB_HOPITAL;19;9;SAINT-MAURICE, PARIS, MONTREUIL, CHOISY-LE-ROI, ALFORTVILLE, FONTENAY-SOUS-BOIS, BRY-SUR-MARNE, LA QUEUE-EN-BRIE;94, 75, 93;12 A 14 12 RUE DU VAL D'OSNE 94410 SAINT-MAURICE, 1 A 3 1 PASSAGE DES TAILLANDIERS 75011 PARIS, 63 RUE DE LA ROQUETTE 75011 PARIS, 116 RUE DU TEMPLE 75003 PARIS, QUAI DE LA RAPEE 75012 PARIS, BATIMENT FLOTTANT QUAI DE LA RAPEE 75012 PARIS, 36 RUE DE TURBIGO 75003 PARIS, 2 RUE DU FIGUIER 75004 PARIS;CHAUDE;90;83.5
5;267500452;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS (AP-HP);PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CENTRE, PRIV_SANTE_CABINET;15;9;PARIS, ISSY-LES-MOULINEAUX, BONDY, LIMEIL-BREVANNES, IVRY-SUR-SEINE, LE KREMLIN-BICETRE, BOISSY-SAINT-LEGER, VILLIERS-LE-BEL;75, 92, 93, 94, 95;55 BOULEVARD DIDEROT 75012 PARIS, RUE LEBLANC 75015 PARIS, 10 RUE VAUGELAS 75015 PARIS, 53 BOULEVARD DIDEROT 75012 PARIS, 64 RUE RENE BINET 75018 PARIS, 49 RUE MIRABEAU 75016 PARIS, 10 AVENUE VICTOR CRESSON 92130 ISSY-LES-MOULINEAUX, 2 RUE ARTHUR GROUSSIER 93140 BONDY;CHAUDE;90;82.3
6;200082105;GROUPE HOSPITALIER UNIVERSITAIRE PARIS - PSYCHIATRIE ET NEUROSCIENCES;PUBLIC;PUB_HOPITAL;12;5;PARIS, CHELLES, MONTROUGE, NEUILLY-SUR-MARNE, NOISY-LE-GRAND;75, 77, 92, 93;1 RUE CABANIS 75014 PARIS, 5 RUE CLAUZEL 75009 PARIS, 22 BOULEVARD DE SEBASTOPOL 75004 PARIS, 7 RUE DES GOBELINS 75013 PARIS, 17 RUE GARANCIERE 75006 PARIS, 145 B RUE D'ALESIA 75014 PARIS, 26 BOULEVARD BRUNE 75014 PARIS, 5 RUE DE BORDEAUX 77500 CHELLES;CHAUDE;90;85.4
7;775676349;FONDATION L ELAN RETROUVE;PUBLIC;PUB_HOPITAL;12;8;PARIS, MEULAN-EN-YVELINES, MALAKOFF, COLOMBES, ANTONY, FONTENAY-AUX-ROSES, CHEVILLY-LARUE, ORLY;75, 78, 92, 94;23 RUE CATHERINE DE LA ROCHEFOUCAULD 75009 PARIS, 26 PASSAGE TRUBERT-BELLIER 75013 PARIS, 6 RUE TROLLEY DE PREVAUX 75013 PARIS, 55 RUE DE LA FOLIE-REGNAULT 75011 PARIS, CENTRE FRANCOISE GREMY 25 VILLA SANTOS-DUMONT 75015 PARIS, CTRE SPECIALISE GILBERT RABY 2 AVENUE DU MARECHAL JOFFRE 78250 MEULAN-EN-YVELINES, DE 1 A 5 1 ALLEE JACQUES BREL 92240 MALAKOFF, 240 RUE GABRIEL PERI 92700 COLOMBES;CHAUDE;90;76.7
8;775683006;FONDATION  SANTE DES ETUDIANTS DE FRANCE (FSEF);PUBLIC, PRIVE;PUB_HOPITAL, PRIV_SANTE_CABINET, PRIV_SANTE_CENTRE;11;5;PARIS, NEUFMOUTIERS-EN-BRIE, VARENNES-JARCY, SCEAUX, BOUFFEMONT;75, 77, 91, 92, 95;8 RUE EMILE DEUTSCH DE LA MEURTHE 75014 PARIS, 14 RUE BOILEAU 75016 PARIS, 68 RUE DES GRANDS MOULINS 75013 PARIS, 1ER ETAGE 4 RUE DE QUATREFAGES 75005 PARIS, 19 RUE DU DOCTEUR LARDANCHET 77610 NEUFMOUTIERS-EN-BRIE, 29 RUE DE LA LIBERATION 91480 VARENNES-JARCY, 20 RUE DU LYCEE 92330 SCEAUX, 30 AVENUE DU PRES F ROOSEVELT 92330 SCEAUX;CHAUDE;90;79.7
9;269301016;CENTRE HOSPITALIER GENERAL DE ST DENIS;PUBLIC;PUB_HOPITAL;9;4;SAINT-DENIS, PIERREFITTE-SUR-SEINE, SAINT-OUEN-SUR-SEINE, VILLEMOMBLE;93;2 RUE DU DOCTEUR DELAFONTAINE 93200 SAINT-DENIS, 11 RUE DANIELLE CASANOVA 93200 SAINT-DENIS, 32 AVENUE VICTOR HUGO 93380 PIERREFITTE-SUR-SEINE, 13 ALLEE DES MARRONNIERS 93380 PIERREFITTE-SUR-SEINE, 11 RUE JEAN 93400 SAINT-OUEN-SUR-SEINE, 41 BOULEVARD BIRON 93400 SAINT-OUEN-SUR-SEINE, 1 B RUE SAINT LOUIS 93250 VILLEMOMBLE;CHAUDE;90;78.3
10;316778505;SOCIETE D'EXPLOITATION DE MAISONS CHIRURGICALES ET DE SANTE (ALEO SANTE) (SEMCS);PUBLIC;PUB_HOPITAL;9;1;PARIS;75;64 RUE LABROUSTE 75015 PARIS, 3-7 3 RUE DE L'HARMONIE 75015 PARIS, 52 RUE LABROUSTE 75015 PARIS, 54 RUE LABROUSTE 75015 PARIS, 15 RUE ROSENWALD 75015 PARIS, 66 RUE LABROUSTE 75015 PARIS, 34 RUE DE LA CONVENTION 75015 PARIS, 69 RUE LABROUSTE 75015 PARIS;CHAUDE;90;90.0
