siret;siren;denomination;enseigne;sigle;naf_code;categorie_chruth;domaine_chruth;sous_categorie;adresse_complete;code_postal;libelle_commune;code_departement;region_nom;region;tranche_effectif_salarie;effectif_code;effectif_label;effectif_nombre;caractere_employeur;categorie_entreprise;nombre_etablissements;date_creation;age_annees;latitude;longitude;est_siege;nature_juridique;liste_finess;liste_uai;_naf_recherche;_timestamp;signal_besoin;priorite;ca_estime_eur;marge_estimee_eur
56209374000032;562093740;CLINIQUE ARAGO;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;187 A 187 A RUE RAYMOND LOSSERAND 75014 PARIS;75014;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;O;ETI;3;2015-01-01;11.501711156741958;48.82932388;2.3121596771;True;5710;"[""750300493""]";[];86.10Z;2026-06-15T15:56:46.386940;90;CHAUDE;99000;19800
78471033700089;784710337;ASSOCIATION GOMBAULT DARNAUD;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;9 BOULEVARD GOUVION-SAINT-CYR 75017 PARIS;75017;PARIS;75;Île-de-France;11;21;21;50 à 99 salariés;99;O;PME;6;2025-01-01;1.5003422313483916;48.8847448156849;2.29071955072507;False;9220;[];[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;99000;19800
81915896500049;819158965;INICEA SANTE MENTALE;;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;21-25 21 RUE BALZAC 75008 PARIS;75008;PARIS;75;Île-de-France;11;31;31;200 à 249 salariés;249;N;GE;7;2022-04-20;4.202600958247776;48.875493766;2.302395318;True;5710;[];[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;249000;49800
77568300600164;775683006;FONDATION  SANTE DES ETUDIANTS DE FRANCE (FSEF);CLINIQUE FSEF PARIS 16;FSEF;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;14 RUE BOILEAU 75016 PARIS;75016;PARIS;75;Île-de-France;11;32;32;250 à 499 salariés;499;O;ETI;36;1900-01-01;126.4996577686516;48.846346694;2.2650435281;False;9300;"[""750150252""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;499000;99800
20008210500046;200082105;GROUPE HOSPITALIER UNIVERSITAIRE PARIS - PSYCHIATRIE ET NEUROSCIENCES;CMP THERAPEUTIQUE ADOLESCENTS;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;5 RUE CLAUZEL 75009 PARIS;75009;PARIS;75;Île-de-France;11;52;52;5000 à 9999 salariés;9999;N;GE;93;2019-01-01;7.501711156741957;48.878947741;2.3392955524;False;7364;"[""750022329""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;9999000;1999800
20008210500079;200082105;GROUPE HOSPITALIER UNIVERSITAIRE PARIS - PSYCHIATRIE ET NEUROSCIENCES;CENTRE DE CRISE ADULTE GARANCIERE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;17 RUE GARANCIERE 75006 PARIS;75006;PARIS;75;Île-de-France;11;52;52;5000 à 9999 salariés;9999;N;GE;93;2019-01-01;7.501711156741957;48.849399864;2.336055917;False;7364;"[""750003931""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;9999000;1999800
20008210500095;200082105;GROUPE HOSPITALIER UNIVERSITAIRE PARIS - PSYCHIATRIE ET NEUROSCIENCES;CATTP ALESIA;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;145 B RUE D'ALESIA 75014 PARIS;75014;PARIS;75;Île-de-France;11;52;52;5000 à 9999 salariés;9999;N;GE;93;2019-01-01;7.501711156741957;48.829962058;2.3206213927;False;7364;"[""750042012""]";[];86.10Z;2026-06-15T15:56:46.015524;90;CHAUDE;9999000;1999800
77568299000038;775682990;FONDATION HOPITAL SAINT JOSEPH;GROUPE HOSPITALIER PARIS SAINT-JOSEPH;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;FONDATION HOPITAL SAINT -JOSEPH 185 RUE RAYMOND LOSSERAND 75014 PARIS;75014;PARIS;75;Île-de-France;11;51;51;2000 à 4999 salariés;4999;O;ETI;8;1900-01-01;126.4996577686516;48.830257175;2.3112552263;True;9300;"[""750000523"", ""750073561""]";"[""0754903X""]";86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;4999000;999800
77568299000087;775682990;FONDATION HOPITAL SAINT JOSEPH;INSTITUT DES VARICES ;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;PARIS SAINT JOSEPH 65 RUE CASTAGNARY 75015 PARIS;75015;PARIS;75;Île-de-France;11;51;51;2000 à 4999 salariés;4999;N;ETI;8;2024-12-19;1.5359342915811087;48.832122378026;2.30782579242591;False;9300;[];[];86.10Z;2026-06-15T15:56:46.385931;90;CHAUDE;4999000;999800
77569483900371;775694839;ASS POUR UTILISATION REIN ARTIFICIEL;AURA PARIS PLAISANCE;;86.10Z;PUB_HOPITAL;PUBLIC;Activités hospitalières;185A 185 RUE RAYMOND LOSSERAND 75014 PARIS;75014;PARIS;75;Île-de-France;11;31;31;200 à 249 salariés;249;O;ETI;38;2014-12-21;11.53182751540041;48.829656799;2.3098283183;False;9220;"[""750055287""]";[];86.10Z;2026-06-15T15:56:46.016524;90;CHAUDE;249000;49800
